Model,Params,Epoch,TrainLoss,ValLoss,P,R,Acc,F1,FPR,FNR
EDRN-NoMHA,4887553,7,0.1575788097599378,0,0.9569756406200569,0.9362426493345714,0.9477383863080685,0.9464956195244055,0.04105040748566254,0.06375735066542866
EDRN-NoMHA,4887553,8,0.11415484275382298,0,0.9326113116726835,0.9594552770040236,0.9457518337408313,0.9458428680396643,0.0676124358587383,0.04054472299597648
EDRN-NoMHA,4887553,9,0.0948299324283233,0,0.9575720037163209,0.9569792633859486,0.9578239608801956,0.9572755417956657,0.041352248717174765,0.043020736614051376
EDRN-NoMHA,4887553,10,0.07417072284107025,0,0.9517409896151496,0.9644073042401733,0.9582823960880196,0.958032282859339,0.04769091457893148,0.03559269575982668
EDRN-NoMHA,4887553,11,0.052364711004954115,0,0.9722308892355694,0.9644073042401733,0.9688264058679706,0.9683032939714108,0.026863869604587986,0.03559269575982668
EDRN-NoMHA,4887553,12,0.04103262794132416,0,0.935912581216775,0.9808108944599195,0.9573655256723717,0.957835877285779,0.06549954723815272,0.01918910554008047
EDRN-NoMHA,4887553,13,0.030537600718581907,0,0.9656547071450475,0.9746208604147323,0.9703545232273839,0.970117067159581,0.03380621792936915,0.025379139585267718
EDRN-NoMHA,4887553,14,0.016145731635893192,0,0.9757937755422823,0.960693283813061,0.9688264058679706,0.9681846537741734,0.02324177482644129,0.039306716186939025
EDRN-NoMHA,4887553,15,0.011157879498429023,0,0.9144079885877318,0.9919529557412565,0.9501833740831296,0.9516033254156769,0.09055236945366738,0.008047044258743422
EDRN-NoMHA,4887553,16,0.016074497252702713,0,0.9809342230695901,0.9554317548746518,0.9688264058679706,0.9680150517403575,0.018110473890733475,0.04456824512534819
EDRN-NoMHA,4887553,17,0.00763360252424788,0,0.973374613003096,0.9730733519034355,0.9735635696821516,0.9732239591394521,0.025958345910051313,0.02692664809656453
EDRN-NoMHA,4887553,18,0.003835907265266332,0,0.9747899159663865,0.9693593314763231,0.9724938875305623,0.9720670391061452,0.02444913975249019,0.03064066852367688
EDRN-NoMHA,4887553,19,0.00359453719171982,0,0.9813232035454258,0.9594552770040236,0.9709657701711492,0.9702660406885759,0.01780863265922125,0.04054472299597648
EDRN-NoMHA,4887553,20,0.004172529766667419,0,0.9634925463948889,0.9801918910554008,0.9718826405867971,0.971770481742866,0.03622094778146695,0.019808108944599195
EDRN-NoMHA,4887553,21,0.003173047862499236,0,0.9323220536756126,0.9891674404209223,0.9591992665036675,0.9599038894728938,0.0700271657108361,0.010832559579077685
EDRN-NoMHA,4887553,22,0.009962858258334633,0,0.965158924205379,0.9774063757350665,0.9714242053789731,0.9712440412117485,0.034409900392393604,0.022593624264933457
EDRN-NoMHA,4887553,23,0.001504845880285407,0,0.963969465648855,0.9770968740328072,0.9706601466992665,0.9704887795880726,0.0356172653184425,0.02290312596719282
EDRN-NoMHA,4887553,24,0.0015692071806720027,0,0.9701078582434515,0.9743113587124729,0.9724938875305623,0.9722050648548487,0.029278599456685782,0.02568864128752708
EDRN-NoMHA,4887553,25,0.001459892861580906,0,0.960582171012735,0.9805013927576601,0.9705073349633252,0.9704395772706387,0.039239360096589196,0.019498607242339833
EDRN-NoMHA,4887553,26,0.001786460879464777,0,0.9745499689633768,0.9718353450943981,0.9735635696821516,0.9731907639857431,0.024750980984002413,0.02816465490560198
EDRN-NoMHA,4887553,27,0.0006316570652415976,0,0.9763387297633873,0.9705973382853605,0.9738691931540342,0.9734595685239795,0.022939933594929067,0.02940266171463943
EDRN-NoMHA,4887553,28,0.0005088259488100168,0,0.9769828926905132,0.9721448467966574,0.9749388753056235,0.9745578653428483,0.022336251131904617,0.027855153203342618
EDRN-NoMHA,4887553,29,0.0004512400708056073,0,0.9754582168375272,0.9718353450943981,0.9740220048899756,0.9736434108527132,0.02384545728946574,0.02816465490560198
EDRN-NoMHA,4887553,30,0.0004107217146156472,0,0.9736597458940192,0.9724543484989168,0.9734107579462102,0.9730566738928461,0.02565650467853909,0.027545651501083256
EDRN-NoMHA,4887553,31,0.0003722457730383702,0,0.9763313609467456,0.9702878365831012,0.9737163814180929,0.9733002173238124,0.022939933594929067,0.029712163416898793
EDRN-NoMHA,4887553,32,0.00033100380292475724,0,0.9757236227824463,0.9702878365831012,0.9734107579462102,0.972998137802607,0.023543616057953517,0.029712163416898793
EDRN-NoMHA,4887553,33,0.0002965135080068229,0,0.9747742136406105,0.9687403280718044,0.9721882640586798,0.9717479043775225,0.02444913975249019,0.031259671928195606
EDRN-NoMHA,4887553,34,0.0003159744509712954,0,0.9733581164807931,0.9724543484989168,0.973257946210269,0.9729060226041183,0.025958345910051313,0.027545651501083256
EDRN-NoMHA,4887553,35,0.00026418064086241287,0,0.9745183343691733,0.9705973382853605,0.9729523227383863,0.9725538843231509,0.024750980984002413,0.02940266171463943
EDRN-NoMHA,4887553,36,0.0002037764380265099,0,0.9736352357320099,0.9715258433921387,0.9729523227383863,0.972579395817196,0.02565650467853909,0.02847415660786134
EDRN-NoMHA,4887553,37,0.00015192254054104874,0,0.973308504034761,0.9705973382853605,0.972341075794621,0.9719510305284363,0.025958345910051313,0.02940266171463943
EDRN-NoMHA,4887553,38,0.00011484317810055263,0,0.9754276827371695,0.9705973382853605,0.9734107579462102,0.9730065156686317,0.02384545728946574,0.02940266171463943
EDRN-NoMHA,4887553,39,0.00012186689785336897,0,0.9748290863890615,0.97090683998762,0.973257946210269,0.9728640099240192,0.02444913975249019,0.02909316001238007
EDRN-NoMHA,4887553,40,0.00010411369546021048,0,0.9745262503883193,0.97090683998762,0.9731051344743277,0.9727131782945736,0.024750980984002413,0.02909316001238007
EDRN-NoMHA,4887553,41,9.972583886617661e-05,0,0.9748055987558321,0.9699783348808418,0.972799511002445,0.972385975798945,0.02444913975249019,0.030021665119158155
EDRN-NoMHA,4887553,42,9.817418637025045e-05,0,0.9748055987558321,0.9699783348808418,0.972799511002445,0.972385975798945,0.02444913975249019,0.030021665119158155
EDRN-NoMHA,4887553,43,9.862803031305353e-05,0,0.9745104134286603,0.9702878365831012,0.972799511002445,0.972394540942928,0.024750980984002413,0.029712163416898793
EDRN-NoMHA,4887553,44,9.484688094884265e-05,0,0.974502487562189,0.9699783348808418,0.9726466992665037,0.9722351481309136,0.024750980984002413,0.030021665119158155
EDRN-NoMHA,4887553,45,9.242319356417283e-05,0,0.9747977598008711,0.9696688331785824,0.9726466992665037,0.9722265321955004,0.02444913975249019,0.030331166821417517
EDRN-NoMHA,4887553,46,9.22146308277241e-05,0,0.9747977598008711,0.9696688331785824,0.9726466992665037,0.9722265321955004,0.02444913975249019,0.030331166821417517
EDRN-NoMHA,4887553,47,9.161975196128388e-05,0,0.9747977598008711,0.9696688331785824,0.9726466992665037,0.9722265321955004,0.02444913975249019,0.030331166821417517
EDRN-NoMHA,4887553,48,9.103199268933028e-05,0,0.9747977598008711,0.9696688331785824,0.9726466992665037,0.9722265321955004,0.02444913975249019,0.030331166821417517
EDRN-NoMHA,4887553,49,9.109715035894903e-05,0,0.9747977598008711,0.9696688331785824,0.9726466992665037,0.9722265321955004,0.02444913975249019,0.030331166821417517
EDRN-NoMHA,4887553,50,9.179167675308866e-05,0,0.9747977598008711,0.9696688331785824,0.9726466992665037,0.9722265321955004,0.02444913975249019,0.030331166821417517
EDRN-Uni,3243777,1,0.6854218049691274,0,0.8003291278113001,0.4515629835964098,0.6735941320293398,0.5773644637910565,0.10987020827044974,0.5484370164035902
EDRN-Uni,3243777,2,0.6655870595803628,0,0.8198614318706697,0.7691117301145156,0.8025672371638142,0.7936761418077292,0.16480531240567461,0.23088826988548436
EDRN-Uni,3243777,3,0.6133322371886327,0,0.7492828456683879,0.8084184463014547,0.7718520782396088,0.77772815244901,0.2638092363416843,0.19158155369854535
EDRN-Uni,3243777,4,0.4236505925655365,0,0.8946315438479493,0.8303930671618693,0.8679706601466992,0.8613162118780097,0.09538182915786296,0.1696069328381306
EDRN-Uni,3243777,5,0.2639549388908423,0,0.8990384615384616,0.9260290931600124,0.9121332518337408,0.9123341972861717,0.10141865378810745,0.07397090683998762
EDRN-Uni,3243777,6,0.17696023589143386,0,0.9628493524199045,0.8743423088826988,0.92130195599022,0.916463909164639,0.03290069423483248,0.12565769111730116
EDRN-Uni,3243777,7,0.15779628604650497,0,0.9528512265052564,0.9257195914577531,0.9407090464547677,0.9390894819466248,0.044672502263809234,0.07428040854224698
EDRN-Uni,3243777,8,0.09873910893041354,0,0.9603024574669187,0.9433611884865367,0.9527811735941321,0.9517564402810305,0.038031995170540296,0.056638811513463325
