Model,Params,Epoch,TrainLoss,ValLoss,P,R,Acc,F1,FPR,FNR
EDRN_MHA_U256_D16,5938177,17,0.011619971480775768,0,0.9817891373801917,0.9510987310430208,0.9671454767726161,0.9662002829743751,0.017204950196196802,0.048901268956979264
EDRN_MHA_U256_D16,5938177,18,0.014679789586247912,0,0.9424673784104389,0.9835964097802538,0.9622555012224939,0.9625927608662729,0.058557198913371564,0.01640359021974621
EDRN_MHA_U256_D16,5938177,19,0.002535951068589034,0,0.9780012570710245,0.9631692974311359,0.9711185819070904,0.9705286137533136,0.02112888620585572,0.03683070256886413
EDRN_MHA_U256_D16,5938177,20,0.0012999462759090909,0,0.9799624295554165,0.9687403280718044,0.9747860635696821,0.9743190661478599,0.01931783881678237,0.031259671928195606
EDRN_MHA_U256_D16,5938177,21,0.0002949873622198468,0,0.9813291139240506,0.9597647787062829,0.9711185819070904,0.9704271631982475,0.01780863265922125,0.040235221293717115
EDRN_MHA_U256_D16,5938177,22,0.00022813934177835248,0,0.9694538722616476,0.9724543484989168,0.9712713936430318,0.9709517923362175,0.02988228191971023,0.027545651501083256
EDRN_MHA_U256_D16,5938177,23,0.0007480451673612921,0,0.968,0.9736923553079542,0.9711185819070904,0.9708378336676439,0.03139148807727136,0.026307644692045808
EDRN_MHA_U256_D16,5938177,24,0.0016146577793803702,0,0.9773727215587681,0.9625502940266172,0.9705073349633252,0.9699048807110556,0.02173256866888017,0.03744970597338285
EDRN_MHA_U256_D16,5938177,25,0.002381655693870226,0,0.9839228295819936,0.947075208913649,0.9662286063569682,0.9651474530831099,0.01509206157561123,0.052924791086350974
EDRN_MHA_U256_D16,5938177,26,0.007922713021868661,0,0.9501789976133651,0.9857629216960694,0.9674511002444988,0.9676439313382956,0.0504074856625415,0.01423707830393067
EDRN_MHA_U256_D16,5938177,27,0.0008154799909771799,0,0.9783291457286433,0.964097802537914,0.9717298288508558,0.9711613406079501,0.020827044974343494,0.03590219746208604
EDRN_MHA_U256_D16,5938177,28,9.697998593721353e-05,0,0.9760646565122785,0.9718353450943981,0.9743276283618582,0.9739454094292804,0.02324177482644129,0.02816465490560198
EDRN_MHA_U256_D16,5938177,29,2.2294739638849794e-05,0,0.9757462686567164,0.9712163416898792,0.9738691931540342,0.9734760353652862,0.023543616057953517,0.028783658310120707
EDRN_MHA_U256_D16,5938177,30,1.0372442486728827e-05,0,0.9754505904288377,0.9715258433921387,0.9738691931540342,0.9734842611257559,0.02384545728946574,0.02847415660786134
EDRN_MHA_U256_D16,5938177,31,7.4308416366455695e-06,0,0.975178405212535,0.9727638502011761,0.9743276283618582,0.9739696312364425,0.024147298520977967,0.027236149798823894
EDRN_MHA_U256_D16,5938177,32,5.9447922610572205e-06,0,0.9751861042183623,0.9730733519034355,0.9744804400977995,0.9741285824941905,0.024147298520977967,0.02692664809656453
EDRN_MHA_U256_D16,5938177,33,5.200098511382888e-06,0,0.9757839180378765,0.9727638502011761,0.9746332518337408,0.9742715437073776,0.023543616057953517,0.027236149798823894
