ModelType,U,D,epoch,train_loss,val_loss,precision,recall,accuracy,f1,fpr,fnr
EDRN,32,2,1,0.6909675414745624,0.6886026400786179,0.6852589641434262,0.1064685855772206,0.5346882640586798,0.1843021698365925,0.0476909145789314,0.8935314144227793
EDRN,32,2,2,0.6866623300772446,0.6839051613440881,0.5802098950524738,0.2395543175487465,0.5389669926650367,0.3391018619934282,0.1690310896468457,0.7604456824512534
EDRN,32,2,3,0.6769432287949783,0.6683748501997727,0.5718533201189296,0.5357474466109564,0.5727383863080685,0.5532118887823586,0.391186236039843,0.4642525533890436
EDRN,32,2,4,0.6298066939298923,0.5474687814712524,0.7340045469308217,0.6994738471061591,0.7264669926650367,0.716323296354992,0.2472079686085119,0.3005261528938409
EDRN,32,2,5,0.4174730049876066,0.3206028525645916,0.868980612883052,0.8601052305787682,0.86690097799511,0.864520143101571,0.1264714760036221,0.1398947694212318
EDRN,32,2,6,0.2330408976055108,0.2171696905906383,0.8993409227082085,0.929124110182606,0.913661369193154,0.9139899528086468,0.1014186537881074,0.070875889817394
EDRN,32,2,7,0.1572626787596024,0.1687086006769767,0.963751247090123,0.8969359331476323,0.9324572127139364,0.9291439563962808,0.0329006942348324,0.1030640668523676
EDRN,32,2,8,0.1095765252382709,0.1301429770313776,0.9618441971383148,0.9362426493345714,0.9501833740831296,0.948870765370138,0.0362209477814669,0.0637573506654286
EDRN,32,2,9,0.0781047630768555,0.1421830298808905,0.9179039301310044,0.9758588672237696,0.9449877750611247,0.945994599459946,0.0851192272864473,0.0241411327762302
EDRN,32,2,10,0.05506701547151,0.1112758259360606,0.9741048593350384,0.9430516867842772,0.9595048899755502,0.9583267809403996,0.0244491397524901,0.0569483132157226
EDRN,32,2,11,0.0383121305718444,0.1091759333816858,0.9549055453991468,0.9699783348808418,0.9625611246943764,0.9623829264547828,0.0446725022638092,0.0300216651191581
EDRN,32,2,12,0.0260040068354171,0.1369815652187054,0.9427207637231504,0.9780253791395852,0.9598105134474328,0.9600486100562052,0.0579535164503471,0.0219746208604147
EDRN,32,2,13,0.0163045972137926,0.1239929692103312,0.9587408312958436,0.97090683998762,0.9650061124694376,0.9647854836229433,0.0407485662541503,0.02909316001238
EDRN,32,2,14,0.0088489105916008,0.1434205019703278,0.9534388314059647,0.9696688331785824,0.9616442542787286,0.9614853460181064,0.0461817084213703,0.0303311668214175
EDRN,32,2,15,0.007577495235287,0.1512113918478672,0.9772508811278436,0.9439801918910554,0.9614914425427872,0.9603274559193956,0.0214307274373679,0.0560198081089446
EDRN,32,2,16,0.0045482047918575,0.1555272965477063,0.962095531587057,0.9662643144537296,0.9645476772616136,0.9641754169240272,0.0371264714760036,0.0337356855462705
EDRN,32,2,17,0.0021804021304818,0.171420479623171,0.9638777400432232,0.9662643144537296,0.9654645476772616,0.9650695517774344,0.0353154240869302,0.0337356855462705
EDRN,32,2,18,0.0011908974576307,0.1771790264890744,0.9704588309239472,0.9557412565769112,0.9637836185819072,0.9630438172462186,0.0283730757621491,0.0442587434230888
EDRN,32,2,19,0.0009525322478181,0.1858340776883638,0.9597542242703532,0.9668833178582482,0.9636308068459658,0.9633055812519272,0.0395412013281014,0.0331166821417517
EDRN,32,2,20,0.0007829568283061,0.2051212896521274,0.9509981851179672,0.9730733519034356,0.9619498777506112,0.9619091326296466,0.0488982795049803,0.0269266480965645
EDRN,32,2,21,0.0014340853153603,0.1913407330329601,0.9624384236453202,0.9675023212627668,0.9653117359413202,0.9649637289705202,0.0368246302444913,0.032497678737233
EDRN,32,2,22,0.0005329376950052,0.1882946399542001,0.9602832512315272,0.9653358093469514,0.9631723716381418,0.9628029016823584,0.0389375188650769,0.0346641906530485
EDRN,32,2,23,0.000508816961813,0.1903158271541962,0.9627577716220376,0.9681213246672856,0.9657701711491442,0.965432098765432,0.0365227890129791,0.0318786753327143
EDRN,32,2,24,0.0003435532699558,0.199325432571081,0.9624268555589776,0.9671928195605076,0.965158924205379,0.9648039518369868,0.0368246302444913,0.0328071804394924
EDRN,32,2,25,0.0001761837848754,0.209025794496903,0.9664804469273744,0.9637883008356546,0.9656173594132028,0.9651324965132496,0.0325988530033202,0.0362116991643454
EDRN,32,2,26,0.0002389245067276,0.2053300090707265,0.9711327267022278,0.9579077684927269,0.965158924205379,0.9644749143035214,0.0277693932991246,0.0420922315072732
EDRN,32,2,27,0.0001343555496147,0.2120799754674618,0.9662329615861216,0.9653358093469514,0.9662286063569682,0.9657841771172008,0.0329006942348324,0.0346641906530485
EDRN,32,2,28,0.0003181378750783,0.2136433594501935,0.96687306501548,0.9665738161559888,0.967145476772616,0.9667234174276428,0.032297011771808,0.0334261838440111
EDRN,32,2,29,5.25913874735824e-05,0.2165013626217842,0.9659653465346536,0.9662643144537296,0.9665342298288508,0.9661148073650008,0.0332025354663447,0.0337356855462705
EDRN,32,2,30,0.0001855826512312,0.2178314144794757,0.9656346749226006,0.9653358093469514,0.9659229828850856,0.9654852190063458,0.0335043766978569,0.0346641906530485
EDRN,32,2,31,3.2215774450168494e-05,0.2268885907072287,0.9659653465346536,0.9662643144537296,0.9665342298288508,0.9661148073650008,0.0332025354663447,0.0337356855462705
EDRN,32,2,32,3.1848504870770106e-05,0.2236899687693669,0.965624032208114,0.965026307644692,0.9657701711491442,0.9653250773993808,0.0335043766978569,0.0349736923553079
EDRN,32,2,33,2.312716565729016e-05,0.2269821579639728,0.9659126123334366,0.9647168059424328,0.9657701711491442,0.9653143388045836,0.0332025354663447,0.0352831940575673
EDRN,32,2,34,1.7059204579411995e-05,0.2273233498518283,0.9656346749226006,0.9653358093469514,0.9659229828850856,0.9654852190063458,0.0335043766978569,0.0346641906530485
EDRN,32,2,35,1.627424064911163e-05,0.2288521935160343,0.9656453110492108,0.9656453110492108,0.9660757946210268,0.9656453110492108,0.0335043766978569,0.0343546889507892
EDRN,32,2,36,1.4024528783151114e-05,0.2296563444229272,0.9659337256116444,0.9653358093469514,0.9660757946210268,0.9656346749226006,0.0332025354663447,0.0346641906530485
EDRN,32,2,37,1.4203880307552306e-05,0.2303683872406299,0.9659231722428748,0.965026307644692,0.9659229828850856,0.965474531661248,0.0332025354663447,0.0349736923553079
EDRN,32,2,38,1.3054750157747409e-05,0.2308679366341004,0.9659337256116444,0.9653358093469514,0.9660757946210268,0.9656346749226006,0.0332025354663447,0.0346641906530485
EDRN,32,2,39,1.2137149706876908e-05,0.2317041405118428,0.9662329615861216,0.9653358093469514,0.9662286063569682,0.9657841771172008,0.0329006942348324,0.0346641906530485
EDRN,32,2,40,1.241641841541143e-05,0.2322095030775437,0.9659442724458204,0.9656453110492108,0.9662286063569682,0.96579476861167,0.0332025354663447,0.0343546889507892
EDRN,32,2,41,1.1466555751947171e-05,0.2330707563803746,0.9659337256116444,0.9653358093469514,0.9660757946210268,0.9656346749226006,0.0332025354663447,0.0346641906530485
EDRN,32,2,42,1.1266446633201736e-05,0.2333409230296428,0.9659337256116444,0.9653358093469514,0.9660757946210268,0.9656346749226006,0.0332025354663447,0.0346641906530485
EDRN,32,2,43,1.0787485839850538e-05,0.2338978201150894,0.9653358093469514,0.9653358093469514,0.9657701711491442,0.9653358093469514,0.0338062179293691,0.0346641906530485
EDRN,32,2,44,1.067307439283328e-05,0.2341929485018436,0.9653358093469514,0.9653358093469514,0.9657701711491442,0.9653358093469514,0.0338062179293691,0.0346641906530485
EDRN,32,2,45,1.0645178786734714e-05,0.2342392825163327,0.9653358093469514,0.9653358093469514,0.9657701711491442,0.9653358093469514,0.0338062179293691,0.0346641906530485
EDRN,32,2,46,1.039567462594977e-05,0.2345429595846396,0.9653358093469514,0.9653358093469514,0.9657701711491442,0.9653358093469514,0.0338062179293691,0.0346641906530485
EDRN,32,2,47,1.0406548295367638e-05,0.2344878957821772,0.9653358093469514,0.9653358093469514,0.9657701711491442,0.9653358093469514,0.0338062179293691,0.0346641906530485
EDRN,32,2,48,1.0424572075442904e-05,0.23449807957961,0.9653358093469514,0.9653358093469514,0.9657701711491442,0.9653358093469514,0.0338062179293691,0.0346641906530485
EDRN,32,2,49,1.0259886441697465e-05,0.2345382198691368,0.9653358093469514,0.9653358093469514,0.9657701711491442,0.9653358093469514,0.0338062179293691,0.0346641906530485
EDRN,32,2,50,1.0359402669844432e-05,0.2345350900521645,0.9653358093469514,0.9653358093469514,0.9657701711491442,0.9653358093469514,0.0338062179293691,0.0346641906530485
EDRN,32,4,1,0.6897296217771677,0.6865101731740512,0.5823142050799623,0.1915815536985453,0.5330073349633252,0.2883092687470889,0.1340175067914277,0.8084184463014547
EDRN,32,4,2,0.6851004236019574,0.6834625922716581,0.5574282147315855,0.2763850201176106,0.5343826405867971,0.3695427270846265,0.2140054331421672,0.7236149798823893
EDRN,32,4,3,0.6795293723161404,0.6750988914416387,0.5671981776765376,0.61652739090065,0.5783924205378973,0.5908349399377132,0.4587986718985813,0.38347260909935
EDRN,32,4,4,0.6501522568555979,0.5945311005298908,0.6731528482797519,0.7387805632930982,0.6939180929095354,0.7044414932861148,0.3498339873226683,0.2612194367069019
EDRN,32,4,5,0.4136804605905826,0.2863878538975349,0.8970684039087948,0.8523676880222841,0.878820293398533,0.8741469607998731,0.0953818291578629,0.1476323119777158
EDRN,32,4,6,0.2239437750898874,0.2094024614645884,0.9021479713603818,0.935933147632312,0.9182457212713936,0.9187300622816346,0.0990039239360096,0.064066852367688
EDRN,32,4,7,0.153249529405282,0.1541352100097216,0.936806411837238,0.9405756731662024,0.9393337408312958,0.9386872586872588,0.061877452460006,0.0594243268337975
EDRN,32,4,8,0.1083431832778912,0.1277391331700178,0.9573266394728585,0.9442896935933148,0.9517114914425427,0.9507634777189156,0.0410504074856625,0.0557103064066852
EDRN,32,4,9,0.0758068479884129,0.1140983700752258,0.9544755459858504,0.9603837821108016,0.9578239608801956,0.957420549213206,0.0446725022638092,0.0396162178891983
EDRN,32,4,10,0.0548392592284541,0.1100184607964295,0.9496817217338588,0.9696688331785824,0.9596577017114916,0.9595712098009188,0.0501056444310292,0.0303311668214175
EDRN,32,4,11,0.0352748527388589,0.1064098740999515,0.9678927680798004,0.9610027855153204,0.9650061124694376,0.9644354713464824,0.0310896468457591,0.0389972144846796
EDRN,32,4,12,0.0205956881803173,0.1099466028121801,0.9759341355288156,0.953884246363355,0.9656173594132028,0.964783221161371,0.022939933594929,0.046115753636645
EDRN,32,4,13,0.0144460960951759,0.1147611800294656,0.9695178849144634,0.9647168059424328,0.96760391198044,0.9671113869066088,0.029580440688198,0.0352831940575673
EDRN,32,4,14,0.0083141779513635,0.1233693854166911,0.963076923076923,0.9687403280718044,0.9662286063569682,0.9659003240240704,0.0362209477814669,0.0312596719281956
